2021-05-24 22:59:31, 361, 10012.373903744006, 173, -0.00487879291549325, 974.7976614990234
2021-05-24 23:01:43, 362, 10014.649077741557, 207, -0.0007391780614852904, 66945.67733593751
2021-05-24 23:49:37, 384, 10015.357069568872, 213, -0.004237871107645333, 15887.585750000002
2021-05-24 23:53:58, 386, 10015.37854344481, 248, -0.02297526895999908, 353.9943507080078
2021-05-24 23:58:19, 388, 10015.398946309537, 252, -0.011270008288323878, 982.0655551147461
2021-05-25 00:00:30, 389, 10016.167896078214, 272, -0.002044592320919037, 9886.344063476563
2021-05-25 00:02:41, 390, 10016.399684870497, 227, -0.0011422683373093605, 709.8913739013672
2021-05-25 00:07:02, 392, 10017.040479638452, 249, -0.0006622509602457285, 7195.341008300782
2021-05-25 00:44:22, 409, 10017.305474036439, 203, 0.01589162653684616, 968.3431187744142
2021-05-25 00:46:33, 410, 10018.674018682843, 240, -0.0007418838664889336, 19301.530462890623
2021-05-25 01:18:45, 425, 10018.708505527577, 231, 0.007232770964503289, 288.99457632446286
2021-05-25 01:22:59, 427, 10018.850681997446, 248, -0.01741673094779253, 793.277691040039
2021-05-25 01:33:36, 432, 10019.589726793887, 235, -0.007461753681302071, 278.2658989562988
2021-05-25 02:07:30, 448, 10019.738450698775, 262, -0.000654906427487731, 2309.207959228516
2021-05-25 02:18:11, 453, 10023.61916468567, 241, -0.009967087842524052, 116556.350890625
2021-05-25 02:22:26, 455, 10023.917505250269, 160, -0.0031280431151390078, 2852.5884846191407
2021-05-25 02:24:33, 456, 10024.532444685772, 176, -0.0026809079758822914, 758.1690494384766
2021-05-25 03:40:52, 492, 10025.35936959576, 221, -0.012559581145644188, 1315.3219619140625
2021-05-25 03:47:22, 495, 10025.678716066612, 187, 0.00017123782634735106, 6313.505045410156
2021-05-25 03:49:33, 496, 10025.976509543349, 195, -0.0016277936398983001, 1497.486047241211
2021-05-25 03:51:42, 497, 10026.604555987391, 219, -0.0013085156381130217, 3046.49964477539
2021-05-25 03:53:51, 498, 10027.19478501416, 231, -0.000626820869743824, 173.5610772857666
2021-05-25 04:02:25, 502, 10027.925454682081, 214, -0.0033865838274359703, 3436.0667766113284
2021-05-25 04:04:33, 503, 10028.83475931437, 219, -0.0016039332151412964, 4397.192642089844
2021-05-25 04:08:49, 505, 10031.765831743343, 215, -0.003902558527886868, 27124.3049921875
2021-05-25 04:13:04, 507, 10031.817372028432, 235, 0.005491396432742476, 923.1379365234375
